year,state,st,county,FIPS,candidate,party,candidatevotes,totalvotes
2012,Alabama,AL,Autauga,1001,Barack Obama,democrat,6363.0,23932
2012,Alabama,AL,Autauga,1001,Mitt Romney,republican,17379.0,23932
2012,Alabama,AL,Autauga,1001,Other,,190.0,23932
2012,Alabama,AL,Baldwin,1003,Barack Obama,democrat,18424.0,85338
2012,Alabama,AL,Baldwin,1003,Mitt Romney,republican,66016.0,85338
2012,Alabama,AL,Baldwin,1003,Other,,898.0,85338
2012,Alabama,AL,Barbour,1005,Barack Obama,democrat,5912.0,11509
2012,Alabama,AL,Barbour,1005,Mitt Romney,republican,5550.0,11509
2012,Alabama,AL,Barbour,1005,Other,,47.0,11509
2012,Alabama,AL,Bibb,1007,Barack Obama,democrat,2202.0,8420
2012,Alabama,AL,Bibb,1007,Mitt Romney,republican,6132.0,8420
2012,Alabama,AL,Bibb,1007,Other,,86.0,8420
2012,Alabama,AL,Blount,1009,Barack Obama,democrat,2970.0,24006
2012,Alabama,AL,Blount,1009,Mitt Romney,republican,20757.0,24006
2012,Alabama,AL,Blount,1009,Other,,279.0,24006
2012,Alabama,AL,Bullock,1011,Barack Obama,democrat,4061.0,5322
2012,Alabama,AL,Bullock,1011,Mitt Romney,republican,1251.0,5322
2012,Alabama,AL,Bullock,1011,Other,,10.0,5322
2012,Alabama,AL,Butler,1013,Barack Obama,democrat,4374.0,9496
2012,Alabama,AL,Butler,1013,Mitt Romney,republican,5087.0,9496
2012,Alabama,AL,Butler,1013,Other,,35.0,9496
2012,Alabama,AL,Calhoun,1015,Barack Obama,democrat,15511.0,46257
2012,Alabama,AL,Calhoun,1015,Mitt Romney,republican,30278.0,46257
2012,Alabama,AL,Calhoun,1015,Other,,468.0,46257
2012,Alabama,AL,Chambers,1017,Barack Obama,democrat,6871.0,14611
2012,Alabama,AL,Chambers,1017,Mitt Romney,republican,7626.0,14611
2012,Alabama,AL,Chambers,1017,Other,,114.0,14611
2012,Alabama,AL,Cherokee,1019,Barack Obama,democrat,2132.0,9779
2012,Alabama,AL,Cherokee,1019,Mitt Romney,republican,7506.0,9779
2012,Alabama,AL,Cherokee,1019,Other,,141.0,9779
2012,Alabama,AL,Chilton,1021,Barack Obama,democrat,3397.0,17462
2012,Alabama,AL,Chilton,1021,Mitt Romney,republican,13932.0,17462
2012,Alabama,AL,Chilton,1021,Other,,133.0,17462
2012,Alabama,AL,Choctaw,1023,Barack Obama,democrat,3786.0,7968
2012,Alabama,AL,Choctaw,1023,Mitt Romney,republican,4152.0,7968
2012,Alabama,AL,Choctaw,1023,Other,,30.0,7968
2012,Alabama,AL,Clarke,1025,Barack Obama,democrat,6334.0,13851
2012,Alabama,AL,Clarke,1025,Mitt Romney,republican,7470.0,13851
2012,Alabama,AL,Clarke,1025,Other,,47.0,13851
2012,Alabama,AL,Clay,1027,Barack Obama,democrat,1777.0,6662
